date,IPAM_round,picture,Frag_number,IPAM_file,AOI,tank,PAR,F_value,Fm_value,YII_value
08-Jul-19,round_1,14,167,r1_14_ben.csv,9,T1,0,0.1338,0.3211,0.583
08-Jul-19,round_1,14,176,r1_14_ben.csv,10,T1,0,0.1912,0.5132,0.628
08-Jul-19,round_1,14,176,r1_14_ben.csv,11,T1,0,0.1618,0.4382,0.631
08-Jul-19,round_1,14,176,r1_14_ben.csv,12,T1,0,0.1382,0.3691,0.625
08-Jul-19,round_1,15,42,r1_15_ben.csv,1,T2,0,0.2064,0.5074,0.593
08-Jul-19,round_1,15,42,r1_15_ben.csv,2,T2,0,0.1824,0.4554,0.6
08-Jul-19,round_1,15,42,r1_15_ben.csv,3,T2,0,0.152,0.3843,0.605
08-Jul-19,round_1,15,99,r1_15_ben.csv,4,T2,0,0.1858,0.4417,0.579
08-Jul-19,round_1,15,99,r1_15_ben.csv,5,T2,0,0.1985,0.4956,0.599
08-Jul-19,round_1,15,99,r1_15_ben.csv,6,T2,0,0.1676,0.4377,0.617
08-Jul-19,round_1,15,75,r1_15_ben.csv,7,T2,0,0.1853,0.4711,0.607
08-Jul-19,round_1,15,75,r1_15_ben.csv,8,T2,0,0.1838,0.4686,0.608
08-Jul-19,round_1,15,75,r1_15_ben.csv,9,T2,0,0.1583,0.4088,0.613
08-Jul-19,round_1,15,134,r1_15_ben.csv,10,T2,0,0.2265,0.5578,0.594
08-Jul-19,round_1,15,134,r1_15_ben.csv,11,T2,0,0.2265,0.5485,0.587
08-Jul-19,round_1,15,134,r1_15_ben.csv,12,T2,0,0.1868,0.4627,0.596
08-Jul-19,round_1,16,152,r1_16_ben.csv,1,T2,0,0.151,0.3706,0.593
08-Jul-19,round_1,16,152,r1_16_ben.csv,2,T2,0,0.1569,0.3892,0.597
08-Jul-19,round_1,16,152,r1_16_ben.csv,3,T2,0,0.1343,0.3402,0.605
08-Jul-19,round_1,16,71,r1_16_ben.csv,4,T2,0,0.177,0.4466,0.604
08-Jul-19,round_1,16,71,r1_16_ben.csv,5,T2,0,0.1691,0.4324,0.609
08-Jul-19,round_1,16,71,r1_16_ben.csv,6,T2,0,0.1446,0.3765,0.616
08-Jul-19,round_1,16,22,r1_16_ben.csv,7,T2,0,0.2196,0.5402,0.593
08-Jul-19,round_1,16,22,r1_16_ben.csv,8,T2,0,0.1882,0.4564,0.588
08-Jul-19,round_1,16,22,r1_16_ben.csv,9,T2,0,0.1804,0.4441,0.594
08-Jul-19,round_1,16,184,r1_16_ben.csv,10,T2,0,0.1789,0.4755,0.624
08-Jul-19,round_1,16,184,r1_16_ben.csv,11,T2,0,0.174,0.4632,0.624
08-Jul-19,round_1,16,184,r1_16_ben.csv,12,T2,0,0.1495,0.398,0.624
08-Jul-19,round_1,17,88,r1_17_ben.csv,1,T2,0,0.1868,0.4755,0.607
08-Jul-19,round_1,17,88,r1_17_ben.csv,2,T2,0,0.1931,0.4868,0.603
08-Jul-19,round_1,17,88,r1_17_ben.csv,3,T2,0,0.1828,0.4583,0.601
08-Jul-19,round_1,17,58,r1_17_ben.csv,4,T2,0,0.1814,0.4549,0.601
08-Jul-19,round_1,17,58,r1_17_ben.csv,5,T2,0,0.1549,0.3995,0.612
08-Jul-19,round_1,17,58,r1_17_ben.csv,6,T2,0,0.1569,0.3995,0.607
08-Jul-19,round_1,17,168,r1_17_ben.csv,7,T2,0,0.2034,0.5426,0.625
08-Jul-19,round_1,17,168,r1_17_ben.csv,8,T2,0,0.1956,0.5191,0.623
08-Jul-19,round_1,17,168,r1_17_ben.csv,9,T2,0,0.1657,0.4407,0.624
08-Jul-19,round_1,17,84,r1_17_ben.csv,10,T2,0,0.1917,0.5348,0.642
08-Jul-19,round_1,17,84,r1_17_ben.csv,11,T2,0,0.2015,0.5363,0.624
08-Jul-19,round_1,17,84,r1_17_ben.csv,12,T2,0,0.1897,0.5088,0.627
08-Jul-19,round_1,18,77,r1_18_ben.csv,1,T2,0,0.1539,0.398,0.613
08-Jul-19,round_1,18,77,r1_18_ben.csv,2,T2,0,0.1402,0.3672,0.618
08-Jul-19,round_1,18,77,r1_18_ben.csv,3,T2,0,0.1338,0.351,0.619
08-Jul-19,round_1,18,101,r1_18_ben.csv,4,T2,0,0.1819,0.4569,0.602
08-Jul-19,round_1,18,101,r1_18_ben.csv,5,T2,0,0.1564,0.4123,0.621
08-Jul-19,round_1,18,101,r1_18_ben.csv,6,T2,0,0.1451,0.3887,0.627
08-Jul-19,round_1,18,116,r1_18_ben.csv,7,T2,0,0.1848,0.4897,0.623
08-Jul-19,round_1,18,116,r1_18_ben.csv,8,T2,0,0.1706,0.4471,0.618
08-Jul-19,round_1,18,116,r1_18_ben.csv,9,T2,0,0.1853,0.474,0.609
08-Jul-19,round_1,19,113,r1_19_ben.csv,1,T2,0,0.1765,0.4451,0.604
08-Jul-19,round_1,19,113,r1_19_ben.csv,2,T2,0,0.1735,0.4397,0.605
08-Jul-19,round_1,19,113,r1_19_ben.csv,3,T2,0,0.1652,0.4157,0.603
08-Jul-19,round_1,19,47,r1_19_ben.csv,4,T2,0,0.1623,0.4201,0.614
08-Jul-19,round_1,19,47,r1_19_ben.csv,5,T2,0,0.1417,0.376,0.623
08-Jul-19,round_1,19,47,r1_19_ben.csv,6,T2,0,0.1456,0.3912,0.628
08-Jul-19,round_1,19,164,r1_19_ben.csv,7,T2,0,0.176,0.4691,0.625
08-Jul-19,round_1,19,164,r1_19_ben.csv,8,T2,0,0.1676,0.449,0.627
08-Jul-19,round_1,19,164,r1_19_ben.csv,9,T2,0,0.1441,0.3691,0.61
08-Jul-19,round_1,19,160,r1_19_ben.csv,10,T2,0,0.1922,0.5064,0.621
08-Jul-19,round_1,19,160,r1_19_ben.csv,11,T2,0,0.2,0.527,0.62
08-Jul-19,round_1,19,160,r1_19_ben.csv,12,T2,0,0.1784,0.4721,0.622
08-Jul-19,round_1,20,17,r1_20_ben.csv,1,T2,0,0.1873,0.4637,0.596
08-Jul-19,round_1,20,17,r1_20_ben.csv,2,T2,0,0.199,0.4922,0.596
08-Jul-19,round_1,20,17,r1_20_ben.csv,3,T2,0,0.1725,0.4412,0.609
08-Jul-19,round_1,20,51,r1_20_ben.csv,4,T2,0,0.1657,0.4216,0.607
08-Jul-19,round_1,20,51,r1_20_ben.csv,5,T2,0,0.1642,0.4172,0.606
08-Jul-19,round_1,20,51,r1_20_ben.csv,6,T2,0,0.152,0.3853,0.606
08-Jul-19,round_1,20,140,r1_20_ben.csv,7,T2,0,0.2235,0.5701,0.608
08-Jul-19,round_1,20,140,r1_20_ben.csv,8,T2,0,0.2074,0.5333,0.611
08-Jul-19,round_1,20,140,r1_20_ben.csv,9,T2,0,0.1975,0.5137,0.615
08-Jul-19,round_1,21,30,r1_21_ben.csv,1,T2,0,0.1794,0.4392,0.592
08-Jul-19,round_1,21,30,r1_21_ben.csv,2,T2,0,0.1686,0.4088,0.588
08-Jul-19,round_1,21,30,r1_21_ben.csv,3,T2,0,0.175,0.4255,0.589
08-Jul-19,round_1,21,69,r1_21_ben.csv,4,T2,0,0.1819,0.4417,0.588
08-Jul-19,round_1,21,69,r1_21_ben.csv,5,T2,0,0.1676,0.4049,0.586
08-Jul-19,round_1,21,69,r1_21_ben.csv,6,T2,0,0.1539,0.377,0.592
08-Jul-19,round_1,21,41,r1_21_ben.csv,7,T2,0,0.1971,0.5113,0.615
08-Jul-19,round_1,21,41,r1_21_ben.csv,8,T2,0,0.1848,0.4775,0.613
08-Jul-19,round_1,21,41,r1_21_ben.csv,9,T2,0,0.1691,0.4392,0.615
08-Jul-19,round_1,21,151,r1_21_ben.csv,10,T2,0,0.1873,0.5044,0.629
08-Jul-19,round_1,21,151,r1_21_ben.csv,11,T2,0,0.176,0.4711,0.626
08-Jul-19,round_1,21,151,r1_21_ben.csv,12,T2,0,0.1623,0.4294,0.622
08-Jul-19,round_1,22,147,r1_22_ben.csv,1,T2,0,0.2015,0.5201,0.613
08-Jul-19,round_1,22,147,r1_22_ben.csv,2,T2,0,0.1789,0.4618,0.613
08-Jul-19,round_1,22,147,r1_22_ben.csv,3,T2,0,0.1632,0.4343,0.624
08-Jul-19,round_1,22,150,r1_22_ben.csv,4,T2,0,0.1627,0.4294,0.621
08-Jul-19,round_1,22,150,r1_22_ben.csv,5,T2,0,0.1446,0.3843,0.624
08-Jul-19,round_1,22,150,r1_22_ben.csv,6,T2,0,0.1309,0.3505,0.627
08-Jul-19,round_1,22,130,r1_22_ben.csv,7,T2,0,0.1784,0.4672,0.618
08-Jul-19,round_1,22,130,r1_22_ben.csv,8,T2,0,0.1608,0.4147,0.612
08-Jul-19,round_1,22,130,r1_22_ben.csv,9,T2,0,0.1593,0.4157,0.617
08-Jul-19,round_1,23,35,r1_23_ben.csv,1,T2,0,0.1583,0.3956,0.6
08-Jul-19,round_1,23,35,r1_23_ben.csv,2,T2,0,0.1407,0.3583,0.607
