,Frag_number,Genotype,Recovery_tank,Recovery_notes,Heat_stress_tank,ERL_tank_number,Tank_treatment,Disease_treatment?,D_touch_tank,D_treatment,Jar_allocation,sample_tubes,photos_initial,photo_number,photo_bw_hole,Initial_health,initial_notes,D_touch_tank,Jar_allocation,8aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,9aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,10aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,11aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,12aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,13aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,14aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,15aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,16aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,17aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Frag_number
131,109,CN2,4,ok,9,13,ambient,disease,1,s_marcscens,35,43,yes,225,226,healthy,,1,35,healthy ,no,,,,,healthy,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,,,,,35,healthy ,,251,51,52,,109
31,43,CN4,1,ok,6,10,heat,disease,1,s_marcscens,36,"44,45",yes,227,228,healthy,,1,36,healthy ,no,,,,,diseased,,,37,38,,36,diseased,,,105,106,,36,diseased,,,139,140,,36,diseased,,,3,4,,36,diseased,yes,"207, 208",13,14,check this evening,36,dead,,,15,16,removed,36,dead,na,na,na,na,na,36,dead,na,na,na,na,na,36,dead,na,na,na,na,na,43
59,50,CN4,2,ok,4,8,ambient,disease,1,placebo_slurry,37,46,yes,229,230,healthy,,1,37,healthy ,no,,,,,healthy,,,,,,37,healthy ,,,,,,37,healthy ,,,,,,37,healthy ,,,,,,37,healthy ,,,,,,37,healthy ,,,,,,37,healthy ,,,,,,37,healthy ,,,,,,37,healthy ,,252,53,54,,50
26,15,ML2,1,ok,9,13,ambient,disease,1,disease_slurry,38,47,yes,231,232,healthy,,1,38,healthy,no,,,,,diseased,,,39,40,,38,diseased,yes,197,107,108,,38,dead,,,141,142,removed,38,dead,na,na,na,na,na,38,dead,na,na,na,na,na,38,dead,na,na,na,na,na,38,dead,na,na,na,na,na,38,dead,na,na,na,na,na,38,dead,na,na,na,na,na,15
100,45,CN4,3,ok,10,15,heat,disease,1,disease_slurry,39,"48,49",yes,233,234,healthy,loose on plug,1,39,healthy ,no,,,,,healthy,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,healthy ,,,,,,39,diseased,,,15,16,"check this evening; fell off plug, diseased side is number side",39,diseased,,,17,18,disease side number side,39,diseased,,,15,16,disease side number side,39,diseased,,,15,16,disease side number side,39,diseased,,253,55,56,,45
64,35,ML2,2,ok,10,15,heat,disease,1,placebo_slurry,40,50,yes,235,236,healthy,,1,40,healthy ,no,,,,,healthy,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,,,,,40,healthy ,,254,57,58,,35
6,80,CN4,1,ok,4,8,ambient,disease,2,disease_slurry,1,"51,52",yes,237,238,healthy,off plug,2,1,diseased,YES,"185, 186",13,14,,diseased,,,11,12,,1,dead,,,109,110,removed,1,dead,na,na,na,na,na,1,dead,na,na,na,na,na,1,dead,na,na,na,na,na,1,dead,na,na,na,na,na,1,dead,na,na,na,na,na,1,dead,na,na,na,na,na,1,dead,na,na,na,na,na,80
71,52,CN4,2,ok,1,1,heat,disease,2,s_m_placebo,2,53,yes,239,240,healthy,,2,2,healthy,no,,,,,healthy,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,255,,,,52
7,91,CN2,1,ok,5,9,heat,disease,2,disease_slurry,3,54,yes,241,242,healthy,,2,3,healthy,no,,,,,healthy,,,,,,3,healthy ,,,,,,3,diseased,,,143,144,,3,diseased,,,9,10,,3,diseasd,,,17,18,check this evening,3,diseased,,,19,20,,3,diseased,,,17,18,,3,diseased,yes,216,17,18,check this evening,3,diseased,,256,59,60,,91
125,81,CN4,3,ok,8,12,heat,disease,2,s_marcscens,4,55,yes,243,244,healthy,,2,4,healthy,no,,,,,diseased ,,,41,42,,4,diseased,,,111,112,,4,dead,no tissue,,145,146,removed,4,dead,na,na,na,na,na,4,dead,na,na,na,na,na,4,dead,na,na,na,na,na,4,dead,na,na,na,na,na,4,dead,na,na,na,na,na,4,dead,na,na,na,na,na,81
